id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
826,Serbia,,"Business, management and accounting",,,,,,,,Male,Associate professor,University,3-5,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
827,United States of America,,,,,,,Social sciences,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Global North
828,United States of America,,,,,,Psychology,,,,Female,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
829,Nigeria,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Global South
831,Canada,,,,,,,,,Philosophy ,Male,Associate professor,University,11-20,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
832,Canada,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
834,Norway,,,,,,,Social sciences,,,Female,Professor,Non-university research institution,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Global North
836,Romania,,,,,,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Global North
837,Denmark,Arts and humanities,,,,,,Social sciences,,,Female,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
841,United States of America,,,,,Multidisciplinary,,Social sciences,,Cultural evolution,Male,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,,,,,,,,,,Global North
844,Brazil,,,,,,Psychology,,,,Female,Postdoctoral researcher,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Global South
845,India,,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Global South
847,China,,"Business, management and accounting",,,,Psychology,Social sciences,,,Male,Postdoctoral researcher,University,11-20,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global South
848,Brazil,,,,,,,Social sciences,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Global South
849,Colombia,,,,,Multidisciplinary,,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Global South
850,Brazil,,"Business, management and accounting",,"Economics, econometrics and finance",,,,,Innovation,Female,Postdoctoral researcher,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Global South
851,India,,,,,,,Social sciences,,,Female,Phd student/holder,Non-university research institution,3-5,Some of these articles were also deposited as preprints*,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Strongly agree,Neutral,Neutral,,,,,,,,,,Global South
853,Philippines,,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Global South
855,United States of America,,,,,,Psychology,,,,Male,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Global North
856,Hungary,,,,"Economics, econometrics and finance",,,,,,Female,Postdoctoral researcher,Governmental or international organisation,21+,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
857,Norway,Arts and humanities,,,,,,,,,Male,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
858,France,,,,,,,,,Biology,Male,Professor,Non-university research institution,6-10,Some of these articles were also deposited as preprints*,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global North
859,United States of America,Arts and humanities,,,,,,,,,Male,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
860,Germany,,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Postdoctoral researcher,Non-university research institution,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Global North
861,United States of America,,,,,,,Social sciences,,,Female,Assistant professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
863,United States of America,,,,,,,,,Statistics,Male,Professor,University,11-20,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
864,Austria,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global North
865,South Africa,Arts and humanities,,,,,,,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly disagree,Neutral,Global South
866,United States of America,,,,,,,Social sciences,,,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Global North
867,South Africa,Arts and humanities,,,,,,,,,Male,Postdoctoral researcher,University,21+,Some of these articles were also deposited as preprints*,Strongly agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,,,,,,,,,,Global South
868,Israel,,,,,,,,,Public health,Male,Professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
869,Chile,Arts and humanities,,,,,,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Global South
871,Italy,,,,,,Psychology,,,,Female,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
872,Canada,Arts and humanities,,,,,,,,,Female,Associate professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,,,,,,,,,,Global North
873,United States of America,,,,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Global North
874,Spain,,,,,,,Social sciences,,,Female,Associate professor,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
875,United States of America,,,,,Multidisciplinary,,Social sciences,,,Female,Associate professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Global North
876,Australia,Arts and humanities,,,,,,Social sciences,,,Female,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Global North
877,Germany,,,,"Economics, econometrics and finance",,,Social sciences,,,Female,Master student/holder,University,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Global North
878,United States of America,,,,,,,Social sciences,,,Male,Phd student/holder,University,11-20,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
879,United States of America,,,,,,,Social sciences,,,Female,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Global North
881,United States of America,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
882,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Female,Assistant professor,University,3-5,Some of these articles were also deposited as preprints*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,,,,,,,,,,Global North
883,United States of America,,,,,,,,,Health,Female,Professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
886,United States of America,Arts and humanities,,,,Multidisciplinary,,,,,Male,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Global North
888,Germany,,,,,,Psychology,,,,Female,Phd student/holder,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Global North
889,United States of America,Arts and humanities,,,,,,,,,Male,Professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global North
890,the United Kingdom of Great Britain and Northern Ireland,,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,,,,,,,,,,Global North
891,United States of America,,,,,,,Social sciences,,,Male,Phd student/holder,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global North
893,Jordan,,,,,,,,,Human resources ,Male,Phd student/holder,University,1-2,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
894,United States of America,,,,,,,,,Mathematics,Female,Professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Neutral,Disagree,Disagree,,,,,,,,,,,,,,,,,,,Global North
895,India,,,,,,,Social sciences,,Social work ,Male,Professor,University,6-10,Some of these articles were also deposited as preprints*,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,Global South
896,United States of America,Arts and humanities,,,,,,,,,Male,Phd student/holder,Other,3-5,Some of these articles were also deposited as preprints*,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
897,United States of America,,,,,,,Social sciences,,,Male,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Global North
898,United States of America,,,,,,,,,Social work,Male,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Global North
899,United States of America,,,,,,,Social sciences,,,Female,Postdoctoral researcher,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Global North
900,United States of America,,,,,,,Social sciences,,,Female,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
901,Switzerland,Arts and humanities,,,,,,,,,Female,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Global North
905,Spain,Arts and humanities,,,,,,,,,Male,Associate professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Global North
906,the United Kingdom of Great Britain and Northern Ireland,Arts and humanities,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,Global North
907,Netherlands,,"Business, management and accounting",,,,,Social sciences,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
908,United States of America,,,,,,,,,Health,Female,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
910,Argentina,Arts and humanities,,,,,,Social sciences,,,Male,Postdoctoral researcher,University,6-10,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,Global South
911,United States of America,,,,,,,Social sciences,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Global North
912,Mexico,,,,,,,Social sciences,,,Female,Professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree,Global South
915,United States of America,,,,,,,Social sciences,,,Female,Retired,Retired,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Global North
916,United States of America,,,,,,,Social sciences,,,Male,Assistant professor,University,11-20,Some of these articles were also deposited as preprints*,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,,,,,,,,,,Global North
919,Spain,,,,,,,Social sciences,,,Female,Associate professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Global North
922,Iran (Islamic Republic of),,,,,,Psychology,Social sciences,,,Male,Professor,University,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Global South
923,Russian Federation,Arts and humanities,,,,Multidisciplinary,,Social sciences,,,Male,Professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Global North
925,Australia,,,,,,,,,Health,Female,Postdoctoral researcher,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Global North
926,Australia,Arts and humanities,,,,,,,,,Female,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Global North
927,Iran (Islamic Republic of),,,,,,,Social sciences,,,Male,Assistant professor,University,3-5,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
928,Mexico,,,,"Economics, econometrics and finance",,,Social sciences,,,Male,Professor,University,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
