id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
659,Slovenia,,,,,,Social studies of science and technology,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Global North
660,Germany,,,,,,Civil engineering,Male,Postdoctoral researcher,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
664,Italy,Economics and econometrics,,,,,,Male,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Neutral,Disagree,,,,,,,,,,Global North
665,Oman,,,,,,Environmental ,Male,Researcher,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Global South
666,Spain,,,Finance,,,Accounting,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
667,China,,,Finance,,,,Male,Assistant professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,,,,,,Global South
670,Netherlands,,,,,,Political science,Male,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Neutral,Global North
674,Indonesia,,,,"General economics, econometrics and finance",,,Female,Master student/holder,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global South
675,Netherlands,,,,"General economics, econometrics and finance",,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global North
680,Malta,,,Finance,,,Risk management audit management corporate finance,Male,Associate professor,University,21+,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
682,Italy,Economics and econometrics,,,,,,Female,Postdoctoral researcher,University,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Disagree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree,,,,,,,,,,Global North
683,Republic of Korea,,,,,,Life science,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neutral,Disagree,Global South
685,Russian Federation,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,Non-university research institution,21+,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,Global North
686,Colombia,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Global South
687,Poland,,,,,,Life science,Female,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Global North
689,France,Economics and econometrics,,,"General economics, econometrics and finance",,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
690,France,Economics and econometrics,,,,,,Female,Researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
691,Ireland,,,,,,Sociology,Male,Professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Global North
693,Malaysia,,,,,,Pharmacy,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Global South
694,Turkey,,,,,,Heor,Male,Postdoctoral researcher,Non-university research institution,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Neutral,Global North
696,Algeria,,,,,,Agricultural economics,Male,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Global South
697,Uganda,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
698,Italy,,,,,,Law,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Neutral,Agree,Neutral,Strongly disagree,Global North
699,Turkey,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,,,,,,,,,,Global North
700,Italy,,,,,,Statistics,Male,Senior researcher,Non-university research institution,3-5,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,,,,,,,,,,Global North
701,Norway,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
702,Italy,Economics and econometrics,,,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
703,Malaysia,Economics and econometrics,,,,,,Male,Associate professor,Non-university research institution,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
704,France,Economics and econometrics,,,,,,Male,Associate professor,Non-university research institution,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Disagree,,,,,,,,,,,,,,,,,,,Global North
705,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Assistant professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Global North
707,India,,,Finance,,,,Male,Associate professor,Other,11-20,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
708,United States of America,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
709,Spain,Economics and econometrics,,,,,,Male,Professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
710,India,,,,,,Sociology,Male,Assistant professor,Non-university research institution,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Global South
711,Belgium,Economics and econometrics,,,,,,Male,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,,,,,,,,,,,,,,Strongly disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,,,,,,,,,,Global North
713,Turkey,Economics and econometrics,,Finance,,,,Male,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Global North
714,Tunisia,,,,,,Biology,Male,Postdoctoral researcher,University,21+,Some of these articles were also deposited as working paper*,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Neutral,Agree,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,,,,,,,,,,Global South
715,the United Kingdom of Great Britain and Northern Ireland,Economics and econometrics,,,,,,Male,Professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
716,Nigeria,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Prefer not to say,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Global South
717,Chile,,,,"General economics, econometrics and finance",,,Male,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly disagree,,,,,,,,,,Global South
718,Indonesia,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Global South
720,Argentina,Economics and econometrics,,,,,,Female,Associate professor,Non-university research institution,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Global South
721,Sweden,Economics and econometrics,,,,,,Female,Associate professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
722,Malaysia,,,Finance,,,,Female,Prefer not to say,Business or industry,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Global South
723,Italy,Economics and econometrics,,,,,Public choice,Male,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
724,Luxembourg,Economics and econometrics,,,,,,Male,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,,,,,,,,,,,,,,Agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,,,,,,,,,,Global North
726,Chile,Economics and econometrics,,,"General economics, econometrics and finance",,"Labour economics, social security,  environmental economics, education economics",Male,Researcher,Governmental or international organisation,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,,,,,,,,,Global South
728,Congo,,,Finance,,,Accounting,Male,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
729,Ukraine,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Associate professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Global North
730,South Africa,Economics and econometrics,,,"General economics, econometrics and finance",,,Male,Associate professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,Global South
731,Nigeria,,,,,,Management,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Global South
732,France,,,,,,Environmental economics,Male,Postdoctoral researcher,Non-university research institution,6-10,Some of these articles were also deposited as working paper*,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
733,Poland,,,,"General economics, econometrics and finance",,,Female,Associate professor,University,1-2,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Global North
734,Italy,,,,,,Economics,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
735,Portugal,Economics and econometrics,,,,,,Male,Associate professor,University,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
736,Brazil,,,,,,Economics of innovation; political economy,Male,Professor,University,11-20,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global South
737,Italy,,,Finance,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Agree,Strongly disagree,Disagree,,,,,,,,,,Global North
738,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,Non-university research institution,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
739,Italy,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Assistant professor,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Strongly disagree,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,Strongly disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
742,United States of America,,"Economics, econometrics and finance (miscellaneous)",Finance,,,,Male,Professor,Non-university research institution,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
743,Russian Federation,Economics and econometrics,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Female,Phd student/holder,University,3-5,Some of these articles were also deposited as working paper*,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Agree,,,,,,,,,,,,,,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,Global North
744,Germany,,,,"General economics, econometrics and finance",,,Male,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Strongly disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,Global North
747,United States of America,Economics and econometrics,,,,,,Male,Business or industry professional,Non-university research institution,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,Global North
748,Slovakia,,,,,,Sport science,Male,Postdoctoral researcher,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Global North
749,Egypt,Economics and econometrics,,,,,,Female,Associate professor,University,11-20,Some of these articles were also deposited as working paper*,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,,,,,,,,,,Global South
751,Italy,Economics and econometrics,,,,,,Male,Professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,,,,,,,,,,,,,,,,,,,Global North
752,Thailand,Economics and econometrics,,,,,,Female,Assistant professor,University,11-20,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,,,,,,,,,,Global South
753,India,,,,,,Chemistry,Female,Professor,University,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global South
755,Brazil,,"Economics, econometrics and finance (miscellaneous)",,,,,Male,Professor,University,6-10,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global South
